"Data (mm-dd)","Acidente de trânsito","Acidente de trabalho","Eventual suicídio","Eventual homicídio","Outro acidente","Ignorado"
"Jan-01","0","1","3","0","1","3"
"Jan-02","1","0","2","1","3","2"
"Jan-03","1","0","1","1","3","0"
"Jan-04","6","0","3","1","1","1"
"Jan-05","1","1","4","0","1","0"
"Jan-06","1","2","4","1","0","1"
"Jan-07","0","0","3","0","1","1"
"Jan-08","3","0","4","0","1","1"
"Jan-09","1","0","0","0","3","0"
"Jan-10","1","2","3","0","1","0"
"Jan-11","2","0","0","0","0","0"
"Jan-12","1","0","1","0","0","0"
"Jan-13","0","1","9","1","3","0"
"Jan-14","2","2","2","0","2","0"
"Jan-15","0","0","1","0","2","0"
"Jan-16","0","0","2","0","0","1"
"Jan-17","2","0","4","2","0","0"
"Jan-18","3","0","2","0","1","1"
"Jan-19","1","0","5","1","2","1"
"Jan-20","1","0","3","0","2","0"
"Jan-21","4","0","2","0","1","1"
"Jan-22","1","0","1","1","3","3"
"Jan-23","2","0","1","0","1","0"
"Jan-24","1","0","5","2","3","1"
"Jan-25","1","0","1","0","1","0"
"Jan-26","3","0","6","0","0","1"
"Jan-27","1","0","5","0","1","0"
"Jan-28","2","1","2","1","3","1"
"Jan-29","1","0","2","0","0","0"
"Jan-30","1","1","2","0","1","1"
"Jan-31","2","0","1","0","2","0"
"Fev-01","1","0","0","0","1","0"
"Fev-02","3","0","1","0","3","2"
"Fev-03","0","0","3","0","1","1"
"Fev-04","2","0","3","0","1","0"
"Fev-05","1","0","0","0","3","0"
"Fev-06","1","0","1","0","1","1"
"Fev-07","0","0","2","0","2","0"
"Fev-08","1","0","2","0","2","0"
"Fev-09","4","0","4","0","3","0"
"Fev-10","2","0","4","0","1","0"
"Fev-11","2","0","4","0","3","0"
"Fev-12","0","0","1","0","1","1"
"Fev-13","1","0","4","0","4","0"
"Fev-14","1","0","2","0","2","1"
"Fev-15","0","0","3","0","0","0"
"Fev-16","0","0","0","0","1","0"
"Fev-17","0","0","1","0","2","0"
"Fev-18","0","1","2","0","1","0"
"Fev-19","3","0","3","0","1","0"
"Fev-20","1","0","1","0","4","0"
"Fev-21","3","0","4","1","1","0"
"Fev-22","1","0","1","0","1","0"
"Fev-23","1","0","3","0","1","0"
"Fev-24","1","1","1","0","3","0"
"Fev-25","4","3","3","1","3","0"
"Fev-26","4","1","4","1","4","1"
"Fev-27","0","1","3","0","1","0"
"Fev-28","2","0","2","0","3","0"
"Mar-01","0","0","1","1","3","0"
"Mar-02","0","0","3","1","1","0"
"Mar-03","0","0","4","1","2","0"
"Mar-04","0","0","3","1","0","0"
"Mar-05","0","1","3","0","5","1"
"Mar-06","0","0","2","0","0","1"
"Mar-07","0","0","1","0","2","0"
"Mar-08","2","0","3","1","0","0"
"Mar-09","0","2","5","0","1","0"
"Mar-10","0","1","1","1","1","2"
"Mar-11","1","0","5","1","2","0"
"Mar-12","0","0","1","0","3","0"
"Mar-13","4","0","2","0","1","0"
"Mar-14","1","0","1","1","3","0"
"Mar-15","3","0","1","0","1","0"
"Mar-16","5","1","1","0","0","1"
"Mar-17","2","0","5","0","0","0"
"Mar-18","1","0","2","0","1","0"
"Mar-19","1","0","2","1","2","1"
"Mar-20","1","0","1","0","0","0"
"Mar-21","2","1","3","0","0","0"
"Mar-22","3","0","3","0","2","1"
"Mar-23","0","0","2","0","1","0"
"Mar-24","1","1","1","0","2","0"
"Mar-25","1","0","3","0","2","1"
"Mar-26","0","1","5","0","1","3"
"Mar-27","2","0","2","0","0","0"
"Mar-28","3","0","2","0","1","1"
"Mar-29","0","0","7","0","0","1"
"Mar-30","0","0","1","0","2","0"
"Mar-31","2","0","2","0","1","0"
"Abr-01","1","0","1","0","1","2"
"Abr-02","2","0","3","0","7","0"
"Abr-03","2","0","3","0","2","0"
"Abr-04","2","0","2","0","0","1"
"Abr-05","0","1","0","0","1","0"
"Abr-06","1","0","1","0","0","0"
"Abr-07","2","0","4","0","0","0"
"Abr-08","1","0","3","1","2","0"
